Headline,label
Biden Flattered His 1994 Crime Bill Suddenly Starting To Receive So Much Attention,1
"‘Trump Is Finally Done, Trump Is Finally Done,’ Says Strait-Jacketed Opinion Columnist Babbling To Cup Of Applesauce",1
Second Meal After Grocery Trip A Severe Drop-Off From First Meal After Grocery Trip,1
WHO Walks Back Claim That Covid-19 Can Only Be Transmitted Through Locking Eyes With One True Love,1
Woman Begins Defeated Slog Back Upstairs To Apartment To Retrieve Forgotten Mask,1
TV Critic Struggling To Explain Appeal Of Watching Television To Average American,1
‘New Yorker’ Cartoon Editor Defends Publishing Comic By Tom Cotton,1
Woman Who Hasn’t Attended Protest Yet Hoping Police Brutality Still Going On Next Week Too,1
"8-Month Odyssey Of Distress, Despair Ends In Redemption As Man Finally Gets Around To Buying Batteries For Remote",1
TikTok Apologizes After Inadvertently Giving Platform To Thousands Of Theater Kids,1
Congress Announces Willingness To Offer Black Lives Matter Protesters Holiday Or Statue,1
Company Issues Statement Announcing They Stand With Rejected Black Applicants,1
Two Buffalo Police Officers Suspended After Staining Clean Sidewalk With Blood,1
Police Chief Vows To Take Concrete Steps To Better Cover Up Violence,1
Buffalo Police Request Reinforcements Until Elderly-Man Rampages Fully Contained,1
Oakland Athletics Stadium Immediately Converted Into Condos After Team Misses Rent Payment,1
Family Left Elderly Grandmother To Die In Nursing Home But Not Like This,1
U.S. Flag Can’t Believe Fucking Wuss Cries Every Time National Anthem Plays,1
Republican Leaders Claim New Yorkers Will Greet U.S. Military As Liberators,1
Drew Brees Admits He Doesn’t Trust Black People Ever Since Falcons Linebacker Stole Football Straight Out Of His Hands,1
Mark Zuckerberg Announces Virtual Roundtable With American Hate Groups To Better Understand How They Work,1
"‘This Face Will Be The Last Thing You See Before You Die,’ Says Trump In Healing Address To Nation",1
Primaried Steve King Glad He At Least Won’t Have To Be PC Anymore,1
Police Defend Use Of Non-Lethal Rubber Tires On Protestors,1
Democratic Leaders Announce That They’ve Learned The Words ‘Systemic Racism’,1
"‘She Needs A Bible Now, Fuckwad—Yes, It’s For An Epic Clapback!’ Yells Panicked Pelosi Aide Into Phone",1
Auntie Anne’s Breaks From Pack By Calling For Protesters To Be Shot,1
"Trump Throws Garbage Can Through McDonald’s Window Before Looting $2,000 In Big Macs",1
Police Didn’t Spend Millions On Awesome Tank Just To Let Protests Stay Peaceful,1
Sweatshop Worker Devastated To Hear Jacket She Worked So Hard On Looted,1
"‘Let Them Have Eric,’ Screams Trump While Pushing Son Through Door Of Bunker",1
Miami Mayor Suggests Citizens May Be Able To Resume Grinding On Each Other By July 1,1
Study Finds Majority Of Times Either Too Early Or Too Late,1
Fed Chairman Downloads Budgeting App To Help Manage Nation’s Economy,1
"‘I Will Not Be Censored,’ Yells Trump Chaining Himself To Phone Displaying Twitter Homepage",1
Woman Needs To Shut Up And Allow Man To Be Ally,1
Man Questions If It Really Necessary For Protesters To Be Black,1
Protestors Criticized For Looting Businesses Without Forming Private Equity Firm First,1
White House Press Secretary: ‘Trump’s Critics Will Seize On Any Six-Figure Death Toll That Suits Their Narrative’,1
‘Mommy Had To Go To The Hospital Today’ Starts Instagram Chihuahua’s Darkest Post To Date,1
WHO Warns Covid-19 Could Mean End To Blowing Water Through Pool Noodle Into Friends’ Faces,1
Inspirational ‘Hang In There’ Chalk Message The Thing That Finally Breaks Entire Neighborhood,1
Jack Dorsey Assures Twitter Users That Company Having Most Idiotic Possible Internal Conversations About Trump’s Account,1
Woman Knows Current Hardships Just Preparing Her To One Day Give Up Completely,1
Architect Has Amazing Idea For Replacing Freedom Tower If Worst Were To Happen Again,1
Half Hour Of Constant Rubbing Somehow Fails To Soothe Irritated Eye,1
Family Increasingly Terrified That Ghost Haunting House Might Be Pedophile,1
Minneapolis Police Now Requiring Officers To Undergo Ergonomics Training To Better Protect Knees,1
"DNC To Streamline Fundraising By Cutting Out Unnecessary Cost Of Campaigns, Candidates",1
Trump: ‘Even One Death That Makes Me Look Bad Is A Tragedy’,1
Man Always Self-Sabotaging By Working To The Best Of His Ability,1
Xi Jinping Warns Of Second Coronavirus Wave Likely To Disappear Thousands Of Hong Kong Residents,1
Raspberry Self-Conscious About Amount Of Body Hair,1
Frustrated CEO Admits Pfizer Discovered Coronavirus Vaccine Months Ago But Still Can’t Agree On Ad Campaign,1
Marriott CEO Tells Investors He’s Had A Good First Quarter In Terms Of His Personal Life,1
FiveThirtyEight Releases New Analytics Model Predicting Who Coronavirus Will Vote For,1
Warm Weather Compels Concept Of ‘Bikini Bod’ To Slither Forward From Poisoned Subconscious,1
Trump Orders CDC To Research His Investment Portfolio For Potential Coronavirus Cures,1
"Nation’s Politicians, Law Enforcement, Corporate Executives Marvel At Futuristic Utopia They’re Living In",1
Report: 0.004% Of Carbon Pollution Caused By Manufacturing Of ‘Mars Needs Moms’ Promotional Apparel,1
Conversation-Starved Man Finally Treating Bumping Into Coworker As Exquisite Treasure It Truly Is,1
"Study Finds ‘Auld Lang Syne’ Good Enough Song To Be Belted Out On Other Occasions, Too",1
Growing Drug Tolerance Drives Trump To Buy Black-Tar Hydroxychloroquine Off Dealer In D.C. Metro Station,1
Amazon Institutes New ‘Hero Tax’ Charging Essential Workers Additional $2 Per Hour For Honor Of Bravely Performing Job,1
"‘This Is A Crazy Time, And It’s Okay If You’re Scared’ Says Man Burying Gagged Prisoner Alive",1
High Production Values Most Suspicious Part Of Conspiracy Theory Video,1
Rusty LeBron James Unable To Identify A Basketball,1
Mount St. Helens’ Anniversary Brings Divided Nation Together To Remember Grisly Scene In ‘Dante’s Peak’ When Dude’s Elbow Pops Out,1
Recipe Calls For Banana As If Man Has Access To Fucking Caribbean Street Market,1
"Coworkers On Zoom Trapped In Infinite Loop Of Telling Each Other ‘Oh Sorry, No, Go Ahead’",1
Unplanned 2:30 A.M. Trip Through Steven Seagal’s Wikipedia Page Worth Every Goddamn Second,1
God Recalls Getting Start As Backup Dancer Before Making It Big As Deity,1
Drake Fans Accuse Kenny Chesney Of Manipulating Billboard Charts By Putting Effort Into Album,1
Nervous New Driver Going To Stick To Sidewalks Until He’s More Confident,1
Helpful HR Email Offers Employees Tips For Ignoring Mental Health,1
500-Mile Dead Zone Found Off Atlantic Coast Linked To Runoff From Olive Garden Alfredo Pipe,1
"Florida Governor Deploys National Guard To Force Residents Back Into Malls, Movie Theaters",1
Police Still Investigating What Happened Between Officer Discharging Weapon And Suspect’s Head Exploding,1
Updated Patriot Act Finally Legalizes 80% Of Current FBI Operations,1
"Nurse Wearing Snoopy Scrubs, Floral Face Mask To Work Must Think Pandemic Some Kind Of Joke",1
Family Can Trace Ancestry Back To Whatever The Hell Grandma Was Talking About,1
Prize Hog Doesn’t Know How She Can Retain Competition-Ready Body For Another Year,1
Eric Trump Requests Meeting With Barron To Determine Whether They Are Uncle And Nephew Or Brothers Or What,1
Episode Of Cooking Show Implying Pastry Chefs Some Sort Of Oppressed Minority,1
Dr. Fauci Warns Of Needless Suffering And Death If America Allowed To Continue,1
"Report: Mary Grace, Get Your Ass Back Inside This Goddamn Instant",1
National Grandpa Council Allocates $300 Million To Provide Each American Some Walkin’ Around Money,1
Coronavirus Assumed White House Would Be Bigger In Person,1
Stephen Miller Reassures Sick Wife He Knows What It Looks Like When Woman Dying,1
All Man’s Fun Facts From Eisenhower Biography From Prologue,1
Trump Blames Nation’s Susceptibility To Coronavirus Outbreak On Weakness Of America’s Race-Muddled Gene Pool,1
Man Can’t Wait For Quarantine To End So He Can Finally Take Shower Again,1
Experts Warn Unemployment Rate Could Soon Rise To America Is The Greatest Country In The World,1
Each Successive Comment On ‘Jack And Diane’ Music Video More Heartbreaking Than Last,1
"‘Hey,’ Says Chloë Sevigny In Cool, Unaffected Greeting To Firstborn",1
NYPD Officer Hopes Black Teen Only Coughing Because He Just Choked Him,1
"‘Light ’Em Up, Boys!’ Shouts Gun-Toting CDC Grunt After Hundreds Of Baby Coronaviruses Burst Out Of Pulsating Nest",1
Rich College Student Trying To Find Shabbiest Angle In Parents’ Penthouse To Zoom Into Class From,1
God Cleans Cosmos After Discovering Universe Infested With Ants,1
Man Just Can’t Be With Someone Who He Projects So Many Of His Own Flaws Onto,1
Elon Musk Debuts New Self-Parenting Child,1
Study Finds Skin Melting Off Your Hands Revealing Bones Beneath Best Indication You’re About To Have A Bad Trip,1
Biden Campaign Considering Using The Internet To Attract Voters,1
"Conservative Militia Group Prepares For Societal Collapse By Training As Hairstylists, Nail Technicians",1
Facebook Cracking Down On Misinformation By Warning Users Who Share Links From Facebook,1
Michelle Obama ‘Becoming’ Netflix Documentary Spends First Hour On Embryonic Stage,1
Immune System Bored Too,1
Pizza Placed In Frozen Slumber Until Time World Needs It Most,1
Man Feels Like He Gets Gist Of Enlightenment After First Few Minutes Of Hearing Zen Monk Talk,1
BREAKING: Millions Of Americans Sucked Out Into Space After NASA Accidentally Open Airlock Above Headquarters,1
Man Can’t Unsee That McDonald’s Logo Just Big ‘M’,1
Trump Blames China For Acting Too Late In Coordinating U.S. Coronavirus Response,1
Kindergartener Can’t Believe Friend Has Never Seen ‘Cars 3’ Before,1
Man Not Sure He Can Take Another 6 Weeks Of Barely Following CDC Guidelines,1
Biden Addresses Sexual Assault Allegations: ‘My Advisors Told Me To Say They Aren’t True’,1
Americans React With Indifference After First Case Of Coronavirus Spreading To Pet Ferret,1
Man In Quarantine Can’t Remember How Long It’s Been Since He Danced Through Town Square Followed By Big Chorus Of Friendly Locals,1
"Look, Brother, Sister Don’t Like That They’re Soulmates Either",1
Exhausted Parents Struggling To Limit Child’s Time Using Gun,1
Bourgeois Pig Owns Ostentatious Glass Crafted Specifically To Hold Wine,1
Children’s Science Website Clearly Struggling To Come Up With 10 Facts About Slugs,1
Biden Campaign Fundraising Email Reminds Donors Sexual Assault Allegations Don’t Bury Themselves,1
Republicans Ridicule Democrats For Caring As Little About Sexual Assault As They Do,1
Longtime Person Dead At 86,1
Other Butter Companies Scramble To Fill Racism Void Left By Land-O-Lakes,1
Undaunted Texas Waffle House Waitress Has Been Expecting To Die There Every Day For The Past 20 Years Anyway,1
Teleconferencing Pastor Requests Any Worshipper Currently Speaking In Tongues Go On Mute,1
Trump Accuses New York Of Padding State’s Mortality Rate By Including African American Deaths,1
God Pins Up Hunky Shot Of Mesopotamian Hunting Deity As Inspiration To Start Working Out,1
"‘A Dash Of Soap Bubbles, 2 Pinches Of Sunshine, And Just A Drop Of Imagination’ Says Top Hat-Wearing Trump Pouring Ingredients Into Fizzing Concoction",1
Report: Make It Stop,1
Report: Majority Of Knocks At Study Door Occur At Precise Moment Finishing Touch Being Put On Delicate Scale Model,1
Potentially Promising Covid-19 Vaccine Hits Roadblock After Testing Reveals It’s Just Shotgun,1
"Baby Emerges From Game Of Peekaboo Wiser, More Reflective",1
Man Not Sure Why He Thought Most Psychologically Taxing Situation Of His Life Would Be The Thing To Make Him Productive,1
Nancy Pelosi Assures Democratic Reps They Don’t Need To Try Being Productive During Stressful Pandemic,1
Report: Amazon Using Heat-Sensing Alien Hunters To Track Workers Attempting To Unionize,1
"If Woman Makes It Through This, She Finally Going To Wear Hat In Public",1
"Protesters Demand States Reopen, Notice Spike In Coronavirus Cases, Infuriate Them By Locking Down Again",1
Man Reminds Self Woman On Chiquita Banana Sticker Only Smiling At Him Because That’s Her Job,1
BP Celebrates 10th Anniversary Of Deepwater Horizon By Dyeing Gulf Of Mexico Black,1
Fully Recovered Chris Cuomo Gradually Realizing Family Never Going To Let Him Out Of Basement,1
Boston Market CEO Forgoes Annual 2 Million-Gallon Gravy Bonus To Help Pay Unemployed Workers,1
Antsy Nursing Home Residents Counting Down Seconds Until They Can All Get Back To Fucking Each Other,1
Report: Rising Market Instability Driving More Countries To Peg Currencies To Akon’s Akoin,1
"‘You’ve Served Me Well, But This Has Gone Too Far,’ Says Oprah Loading Shotgun After Watching Dr. Oz, Dr. Phil Fox News Appearances",1
Fox News Producer Tasked With Calculating How Long It Would Take To Get Kid Rock A Doctorate,1
Pathetic Minimum-Wage Worker Devastated About Losing Job That Only Paid Couple Hundred Dollars A Week Anyway,1
Russian Roulette Champion Wouldn’t Let His Son Play Russian Roulette,1
Alex Garland Recalls Discovering Personal Computers While Researching ‘Devs’,1
CEO Assures Employees He Doing Everything In His Power To Lay People Off,1
Report: Probably Best Not To Even Think About Crazy Virus Currently Brewing Inside Axolotl,1
"‘Barber…I Was A Barber,’ Says Man Struggling To Recall Life Before Pandemic",1
Health Experts Say Coronavirus Originated In Promiscuous Bat Who Slept Around A Lot,1
Lonely Pedophile Wistfully Surveys Deserted Schoolyard Playground,1
Grinning Tim Cook Announces New iPhone Will No Longer Be Compatible With AirPods,1
Pope Francis Finally Close To Finishing Bible,1
Fears Over Food Supply Grows After Nation’s Naughty Little Boys Sneak Into Reserve Stockpiles And Eat All The Sweets,1
DMT Researchers Advise Maintaining 6-Foot Distance From Own Body,1
Aetna Honors All The Brave Insurance Debt Collectors Continuing To Work In This Difficult Time,1
Trump Blasts Dr. Fauci Over Repeated Negative Remarks About Coronavirus,1
Mike Pompeo Warns Iran Stockpiling Tubes To Build Ventilator,1
Bib-Wearing Nation Holding Forks And Knives Impatiently Waiting For Restaurants To Reopen,1
Postal Service Unveils Plan To Pay Debts With New $1 Trillion Stamp,1
Desperate Red Cross Introduces New High-Powered Arm Juicer To Get Every Last Drop Out Of Donors,1
Historians Discover Declaration Of Independence Originally Intended As Outlet For Founders To Vent Privately,1
"‘I Can Still Cook This, Right,’ Asks Woman Holding Up Writhing, Screaming Potato With 8-Foot-Long Roots",1
Facebook Switchboard Operators Overwhelmed During High-Traffic Afternoon,1
KitchenAid Introduces New High-Speed Countertop Chicken Decapitator,1
"‘It Was, For, Uh, Medical Reasons,’ Says Doctor To Boris Johnson, Explaining Why They Had To Give Him Haircut",1
‘New York Times’ Pledges To Cover Biden Sexual Assault Allegations In Upcoming Crossword,1
Zoom CEO Reclines Back In Chair In Front Of Massive Wall Of Screens Displaying 10 Million Live Video Feeds,1
Walgreens Introduces New Dumbass-Only Shopping Hours For Dipshits Who Don’t Know How To Stay 6 Feet Away,1
Black Man Shot By Police After Matching Description For Covid-19,1
CDC Releases Instructions For All Americans To Make Their Own Hospitals,1
Damning Report Finds White House Ignored Skeletal Horsemen Galloping Through Sky As Early As January,1
NASA Launches Vengeance Rover To Pay Back Mars For Killing Opportunity Back In 2018,1
"‘Just Go Home And Sleep It Off,’ Says Doctor To Coughing, Feverish Black Patient",1
"Exhausting Every Other Way To Pass Time, Couple Begins Ranking Their Lamps",1
Trump Overturns Presidential Limo While Touting Effectiveness Of PCP To Treat Coronavirus,1
Senator Kelly Loeffler Asks For Prayers After Losing $3 On Single Stock Due To Coronavirus,1
Ratings-Hungry Chris Cuomo Devotes Program To Interviewing 23 Other Cuomo Brothers,1
Georgia Governor Argues That Closing State’s Beaches An Attack On Citizens’ Fundamental Right To Get Wet ’N’ Wild,1
"Crazed, Quarantined Mental Health Experts Recommend Scrawling ‘Everything Will Be Okay’ In Feces On Wall",1
Trump Admits 18 New States To Increase Competition For Medical Supplies,1
Scientists Announce They Have Probably Successfully Taught Sign Language To Snakes,1
NYPD Razes Central Park Hospital Tents For Violating Outdoor Encampment Laws,1
Southern Governors Argue Covid-19 Good Christian Virus That Wouldn’t Dare Spread During Church,1
Jared Kushner Says States Should Have Planned Ahead Before Joining The Union,1
"‘They’re Doing Something To The Street,’ Reports Nation Staring Out Window",1
BREAKING: This Is A Test Of The Onion’s Emergency Headline System,1
Careless Imprisoned Migrants Showing Zero Respect For Social-Distancing Rules,1
Trojan Introduces New Anti-Anxiety Weighted Condoms,1
Study Finds Most Restaurants Fail Within First Year Of It Becoming Illegal To Go To Them,1
Anthropologists Who Discovered Existence Of Goblins Just Going To Let Coronavirus Thing Die Down Before Making Announcement,1
Rikers Inmates Punished After Guards Catch Them Trying To Make Bootleg Coronavirus Vaccine,1
It Instantly Clear Girlfriend Used To Fuck Guy Being Mentioned In Anecdote,1
Trump Tackles Medical Supply Shortage By Awarding ExxonMobil Contract To Drill For Ventilators In Arctic,1
New York Quickly Builds Thousands Of Emergency Hamptons Mansions To Shelter Wealthy,1
Disney Announces Plans To Release ‘Mulan’ Directly Into Americans’ Consciousness,1
Employee Proves Diligence By Arriving To Video Conference Call Extra Hour Early Every Morning,1
Man Watching Space Force Rocket Launch Gazes In Awe At The Power Of Human Stupidity,1
"‘What Is This Strange Sensation,’ Announces Nation Putting On Shoes For First Time In A While",1
New Report Finds Americans Willing To Trust Scientific Knowledge Of Anyone Holding Glass Beaker Up To Light,1
Psychologists: So-Called ‘Dr. Fauci’ Just A Figment Of Nation’s Collective Imagination,1
"New Unhinged PETA Ad Warns That Once You Put Googly Eyes On A Banana, Eating It Is Murder",1
"Amazon Announces Unlimited Time Off, Increased Health Benefits For All Warehouse Robots",1
Trump Announces Plan To Retrain Nation’s 3 Million Unemployed Americans As Human Ventilators,1
Global Pandemic That Has Killed Thousands Giving Woman Just The Push She Needed To Organize Tupperware Cabinet,1
Department Of Interior Announces Birds Will Continue Going About Regular Bird Activities During Pandemic,1
Man Reflects On Cyclical Nature Of Existence After Learning McDonald’s Has Stopped Offering All-Day Breakfast Once Again,1
"Congress Sets Aside $1,200 In Trust For Each American Until They Prove They’re Responsible Enough To Handle It",1
British Man Astounded To Hear How Much It Would Cost To Get Mustard Jar Removed From Rectum Under U.S. Healthcare System,1
Man Just Buying One Of Every Cleaning Product In Case Trump Announces It’s Coronavirus Cure,1
British Royal Family Orders Citizens To Leave U.K. Until Prince Charles Recovers,1
Trump Suggests Ceding New York To Coronavirus As Possible Appeasement Strategy,1
Trump Urges Loosening CDC Restrictions To Let Coronavirus Get To Work,1
GOP Urges End Of Quarantine For Lifeless Bipedal Automatons That Make Economy Go,1
Restless Trump Can’t Believe He Stuck Inside With Nothing To Do But Be President,1
Coronavirus Forces Landlord To Cut Back On Taking Care Of Building From 1 To 0 Hours A Week,1
Self-Isolated Woman Going So Crazy She’s Started Talking To Her Spouse,1
Nation Close To Getting Videoconferencing Software To Work,1
"Dog Not Sure How To Interpret Crazy Dream Where It Saw Squirrel, Barked At Squirrel",1
Disturbing New Study Finds American 5th-Graders Only Absorbing Targeted Advertisements At 1st-Grade Level,1
Experts Warn Americans Could Still Be Dealing With Coronavirus As Late As Tomorrow Afternoon,1
Trump Orders Manufacturers To Drastically Ramp Up Production Of Hospital Gift Shop Supplies,1
Violently Bored Americans Begin Looting Puzzle Stores,1
Hospital Holding Back Extra Coronavirus Test Kit In Case Josh Duhamel Needs One,1
Richard Burr Wondering When Profiting Off Mass Suffering Suddenly Became A Crime In This Country,1
Trump Administration Releases Best Case Scenario Projections For Coronavirus Where 8 Million Iranian People Die,1
Trump Seeks To Stimulate Economy By Sending Rare Autographed Photo To Every American,1
Defiant 123-Year-Old Not Going To Let Coronavirus Stop Him From Hanging Out With Friends,1
Woman Annoyed Cat Would Rather Play With Hair Tie Than Expensive Gaming Console She Bought It,1
Triumphant Jared Kushner Announces Plan To Move CDC Headquarters To Jerusalem,1
Thousands Of Formerly Endangered White Rhinos Flood City Streets Mere Days After Humans Quarantined Indoors,1
"Trump Quietly Checks With Aides To Make Sure He’d Be Included In Receiving $1,000 Government Checks",1
Trump Hits Back At China By Announcing U.S. Will Also Expel American Journalists,1
Frustrated Dog Has No Time To Jerk Off Now That Owner Home All Day,1
Conservative Worries Relief Checks Would Discourage Americans From Providing For Selves By Killing Him And Taking His Property,1
"Amazon Hires 100,000 New Workers To Cram In Close Quarters Just For Kicks",1
Nation’s 108 Million Service Industry Workers Assure Public That Job Is Just Way To Stay Busy After Winning Lottery Years Ago,1
Congress Allocates $2 Trillion To Bail Out Struggling Bailout Industry,1
Biden Pledges To Select Woman As Vice President Since Position Doesn’t Entail Much Anyway,1
Woman Tries To Spark Casual Chat In Long Grocery Store Line As If She Not Desperately Attempting To Outrun Death,1
Pfizer Pours All Resources Into Developing New Hyper-Depressant Pill To Help Americans Ease Transition Into Self-Quarantining,1
Porn Industry Leaders Announce Immediate Closure Of All Orifices,1
Divorced Mom At Point In Life Where She Figures She Might As Well Start Writing Erotic Letters To Men In Prison,1
Trump Advises Americans Worried About Coronavirus To Just Get Doctor Who Always Tells Them They In Perfect Health,1
Movie Theaters Packed With Frenzied Crowds Trying To Catch Last-Minute Screening Of ‘Sonic’ Film Before Coronavirus Hits,1
Frustrated Jared Kushner Doesn’t Get Why Everyone In Media Attacking His Qualifications Like They Didn’t Just Get Jobs Through Nepotism Too,1
Kushner Announces Doctors HATE Him After He Discovered One Weird Trick To CURE Coronavirus,1
Trump Assures Americans He Called 911 To Report Coronavirus Outbreak,1
Health Experts Worry Coronavirus Will Overwhelm America’s GoFundMe System,1
Guests Spit Mouthfuls Of Tuna Into Buckets At StarKist Cannery Tour Tasting Room,1
Top U.S. Health Experts: ‘Hold On To Your Fucking Seats Because This Bitch Hasn’t Even Thought About Starting Yet’,1
Best Buy CEO Humbly Asks If Everyone Can Go Out And Buy A Cord Or Something To Help With Company’s Coronavirus Losses,1
BP Executives Combat Negative Perceptions Of Fossil Fuel Companies By Putting Iceberg In Hotel Room With Murdered Prostitute,1
"‘I Can’t Wait To Dress Up As The Coronavirus For Halloween,’ Says Man Who Will Be Dead By May",1
Biden Extends Olive Branch To Biden Supporters,1
Tulsi Gabbard Named Democratic Nominee After Discovery Of Obscure Rule That Grants Nomination To Whoever Wins 0.7% Of The Vote In Missouri,1
Girlfriend Making Playlist Of Bands You Might Like To Associate With Her Forever,1
Lucky Cruise Passengers Get Bunch Of Extra Days On Ship,1
Things Must Be Getting Pretty Serious For Girlfriend’s Dad To Gift Bottle Of BBQ Sauce,1
Insecure Man Worried Everyone At Gym Will Stare At His Perfectly Chiseled Body,1
"‘Vote Blue No Matter Who, Vote Blue No Matter Who,’ Chants Man Filling In Every Bubble On Democratic Primary Ballot",1
CDC Advises Americans To Protect Against Coronavirus By Piling Into This Here Tub For A Scrubbin’,1
Pope Francis Urges Priests To Refrain From Molesting Children Over Coronavirus Fears,1
New Study Finds Most Premature Births Occur After Fetus Smells Something Delicious Outside,1
Woman’s Subconscious Not Sure How Much More Clearly It Can Communicate That Her Teeth Going To Fall Out Soon,1
Biden Gives Speech From South African Jail Cell Where He Still Imprisoned For Supporting Nelson Mandela,1
73-Year-Old Billie Eilish Breaks Silence To Discuss Ravages Of Fame In Interview From Hermetically Sealed Mansion,1
Smithsonian Apologizes For Fraudulent ‘Treasures Of Obama’s Tomb’ Exhibit,1
Man Talking Big Game About Having Shroom Hookup Folds Almost Immediately Under Pressure,1
Study Links High Standardized Test Scores To Being 45-Year-Old Man In Propeller Hat Pretending To Be Fifth-Grader,1
Man Who’s Really Excited To One Day Have Children Must Be Pedophile,1
Biden Defends Past Inappropriate Touching Of Women As Symptom Of Stuttering Hands,1
Ruth Bader Ginsburg Flirting With 67-Year-Old Intern Again,1
"‘We Have Coronavirus Under Control,’ Announces CDC Director As Nose Slowly Transforms Into Pangolin Snout",1
Self-Congratulatory Civility Between Disagreeing Internet Commenters Honestly Worse Than Fight Would Have Been,1
"Vindictive Amy Klobuchar Elected Mayor Of South Bend, Indiana",1
Biden Wondering Where All This Support Was When He Still Had Functioning Brain,1
WHO Warns Outbreaks In Victorian England Confirm Coronavirus Capable Of Spreading Through Time,1
Serial Killer Nostalgic For Bygone Days When He Could Still Get Excited By Something As Simple As Setting A Dog On Fire,1
Sanders Supporter Urges Importance Of Listening To Minority Voices Just Not Specifically The Ones Who Handed Victory To Biden,1
Frustrated Bloomberg Staffer Literally Just Aborted Fetus For This Job,1
Biden Says Incredible Comeback Proves He Can Beat Progressive Democrat In A General Election,1
Elderly Woman Wheeling Oxygen Tank Takes Over Bus’ Priority Seating Like Most Feared Inmate On Prison Yard,1
Woman Braces Self As Documentary Shows Sea Lions Happily Swimming Near Shoreline,1
Area Man Unaware Lifelong Aerosmith Fandom Caused By Early Imprinting Of Steven Tyler As Father Figure,1
Americans Urged To Stockpile Loved Ones Ahead Of Coronavirus Outbreaks,1
"God Happens Upon Tribe Of Primitive, Sky-Worshipping Angels In Previously Uncontacted Region Of Heaven",1
Snack Industry Runs Out Of Ways To Escalate The Word ‘Cheese’,1
Last-Minute Change To Super Tuesday Primary Rules Requires All 14 States To Vote At Same Polling Place,1
Panicked WHO Officials Not Sure How To Respond After Coronavirus Brings 12 People Back To Life,1
Biden Confident After Spending Super Tuesday Stumping Across Iowa,1
New Neutrogena Deep Cleanse Just 130-Pound Chimp That Rips Your Face Off,1
"Report: More Americans Opting To Cut Cord By Building, Launching Own Satellite Into Orbit",1
Man Commits To Being Overly Nice For Next 45 Minutes To Friend He Just Snapped At,1
Eukaryote Traumatized After Accidentally Witnessing Parent Cell Undergo Mitosis,1
